ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_RoboticaBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_RoboticaBlockout_Ingenieria_A.SM_RoboticaBlockout_Ingenieria_A
SM_StorageShelf_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_StorageShelf_Ingenieria_A.SM_StorageShelf_Ingenieria_A
SM_TallerBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_TallerBlockout_Ingenieria_A.SM_TallerBlockout_Ingenieria_A
SM_TallerMecanicoBlockout_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_TallerMecanicoBlockout_Ingenieria_A.SM_TallerMecanicoBlockout_Ingenieria_A
SM_Workbench_Ingenieria_A.fbx | Ingenieria | /Game/Modelos3D/Ingenieria/SM_Workbench_Ingenieria_A.SM_Workbench_Ingenieria_A
SM_BodegaBlockout_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_BodegaBlockout_Mantenimiento_A.SM_BodegaBlockout_Mantenimiento_A
SM_CuartoLlavesBlockout_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_CuartoLlavesBlockout_Mantenimiento_A.SM_CuartoLlavesBlockout_Mantenimiento_A
SM_GarajeBlockout_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_GarajeBlockout_Mantenimiento_A.SM_GarajeBlockout_Mantenimiento_A
SM_KeyCabinet_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_KeyCabinet_Mantenimiento_A.SM_KeyCabinet_Mantenimiento_A
SM_StorageShelf_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_StorageShelf_Mantenimiento_A.SM_StorageShelf_Mantenimiento_A
SM_TallerBlockout_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_TallerBlockout_Mantenimiento_A.SM_TallerBlockout_Mantenimiento_A
SM_UtilityCart_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_UtilityCart_Mantenimiento_A.SM_UtilityCart_Mantenimiento_A
SM_Workbench_Mantenimiento_A.fbx | Mantenimiento | /Game/Modelos3D/Mantenimiento/SM_Workbench_Mantenimiento_A.SM_Workbench_Mantenimiento_A
SM_AuditorioBlockout_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_AuditorioBlockout_Medicina_A.SM_AuditorioBlockout_Medicina_A
SM_AuditoriumSeatRow_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_AuditoriumSeatRow_Medicina_A.SM_AuditoriumSeatRow_Medicina_A
SM_BibliotecaBlockout_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_BibliotecaBlockout_Medicina_A.SM_BibliotecaBlockout_Medicina_A
SM_Centrifuge_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_Centrifuge_Medicina_A.SM_Centrifuge_Medicina_A
SM_Elevator_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_Elevator_Medicina_A.SM_Elevator_Medicina_A
SM_LabTable_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_LabTable_Medicina_A.SM_LabTable_Medicina_A
SM_LaboratoriosBlockout_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_LaboratoriosBlockout_Medicina_A.SM_LaboratoriosBlockout_Medicina_A
SM_Mannequin_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_Mannequin_Medicina_A.SM_Mannequin_Medicina_A
SM_MedicalMonitor_Medicina_A.fbx | Medicina | /Game/Modelos3D/Medicina/SM_MedicalMonitor_Medicina_A.SM_MedicalMonitor_Medicina_A
